Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
4.185453870728775,-0.00011463538597439027,26.419339530533897,0.0004,0.0,0.0
4.185380317056206,-0.0015289190677622868,26.41603138908335,0.0004,4.201,9.36
3.706702973653771,-4.024990312662919,26.51113971859251,4.0,1.84,19.546999999999997
4.154668571725315,-0.0002818669704200372,26.73695688613025,0.0004,4.162,29.5
3.6782861926165302,-4.025036105830359,26.8853672729499,4.0,1.83,39.469
4.135570242916182,-0.0011788791366250336,27.09129487912311,0.0004,4.141,49.375
3.6569940486477437,-4.0257927865272825,27.212786698169204,4.0,1.81,59.407000000000004
4.120904403284714,-0.0013123674534852377,27.40245869994423,0.0004,4.125,69.375
3.6407134676011355,-4.0239625736385785,27.51313160281265,4.0,1.796,79.344
4.108984465398619,-0.00017810264566899987,27.667899314387338,0.0004,4.111,89.375
3.6269880777487056,-4.0260050080246605,27.760658520759115,4.0,1.786,99.391
4.098163542256292,-0.00013264508240476235,27.922649349807134,0.0004,4.1,109.422
3.616065014656756,-4.025040048031207,28.003923357728773,4.0,1.776,119.40700000000001
4.088730483252139,-0.0020589751230361024,28.171463227903725,0.0004,4.089,129.438
3.6067314946177222,-4.02450666070139,28.254531936546513,4.0,1.768,139.391
4.0799121527307545,-0.0018835056291885061,28.393692814950093,0.0004,4.081,149.407
3.5986266757224468,-4.025401555123177,28.475347744553225,4.0,1.762,159.36
4.071547758018273,-0.001789518122385213,28.623659111183976,0.0004,4.071,169.36
3.591466594471785,-4.026028439265795,28.701316443824282,4.0,1.759,179.36
4.063843905244096,-0.00018714556064326545,28.85143390267057,0.0004,4.064,189.313
3.5847830722649445,-4.025634640122575,28.912996501628765,4.0,1.756,199.282
4.05635138848337,-0.0008809786944947791,29.062759596692683,0.0004,4.056,209.235
3.5784826403216714,-4.026193556541453,29.131212119920015,4.0,1.75,219.282
4.049070898901688,0.0011469739810522034,29.275612547734372,0.0004,4.047,229.266
3.5730809928670624,-4.024592429397352,29.330496270970894,4.0,1.746,239.266
4.0420020824587395,-0.0034520276796287407,29.46950099828821,0.0004,4.041,249.204
3.567899889779568,-4.024704443625661,29.54345572353467,4.0,1.744,259.172
4.035446007300834,-0.001613540158867412,29.653511293281937,0.0004,4.033,269.219
3.563087384977672,-4.025647092328334,29.74246105758547,4.0,1.74,279.141
4.0287382922854675,0.0006769837044978642,29.874736374666956,0.0004,4.027,289.079
3.5581234570833433,-4.021970351183907,29.924378500579078,4.0,1.735,299.032
4.022631771042257,-0.0004486485855234942,30.045334387891202,0.0004,4.021,309.094
3.553533479433204,-4.025022994459742,30.092910518782535,4.001,1.733,319.11
4.01647071248024,0.0016143899361806507,30.233101615317892,0.0004,4.015,329.11
3.5493969766845987,-4.025478940167777,30.299123689628804,4.0,1.728,339.079
4.010599843465374,-0.001180943849527829,30.416703109396103,0.0004,4.01,349.079
3.5452754787370617,-4.025589156347094,30.468203156128375,4.0,1.725,359.032
4.00481862229155,0.0004230392321500285,30.55799346921182,0.0004,4.003,368.969
3.5410646017576775,-4.024334267052951,30.618461292767403,4.0,1.722,378.922
3.999059613420126,-0.0015185283944440789,30.73313862836057,0.0004,3.998,388.86
3.5367379389900546,-4.024325652485515,30.788538011801304,4.0,1.718,398.875
3.9934501648069047,-0.002060727204496673,30.89932011242138,0.0004,3.992,408.829
3.533017865005951,-4.027078480945219,30.96656304731792,4.0,1.714,418.766
3.9879165781418275,-0.0002213447246032342,31.08217451879574,0.0004,3.986,428.735
3.528925615147633,-4.024771884235207,31.130234971101682,4.0,1.711,438.735
3.9822241832426157,-0.00043215013880941916,31.20807762786599,0.0004,3.98,448.704
3.5248813846634692,-4.0259107247022445,31.264689340085322,4.0,1.708,458.657
3.9766314058363568,-0.0016329536354592745,31.370727799991517,0.0004,3.976,468.594
3.5208267956374715,-4.02635956270619,31.425515574237256,4.0,1.703,478.532
3.97141706259536,-4.4616260180416485e-05,31.52585808178905,0.0004,3.97,488.532
3.516792565824658,-4.023759189226156,31.56230556147333,4.0,1.7,498.485
3.9660171150233867,-0.0005564583661435724,31.67506993779579,0.0004,3.965,508.422
3.512280749572659,-4.024698298746141,31.72418762966478,4.0,1.694,518.485
3.9601840209154715,-0.0011950960531976898,31.80249344589837,0.0004,3.96,528.422
3.5078704798979357,-4.026045643408,31.88893780136974,4.0,1.691,538.485
3.955050189416314,-7.689782425895556e-05,31.96042419102196,0.0004,3.954,548.485
3.5043718289107546,-4.024176391838502,31.98952010112503,4.0,1.687,558.485
3.949862904328332,-0.001375316238272808,32.09625511161228,0.0004,3.948,568.422
3.500198945815398,-4.027549643239946,32.15285346213927,4.0,1.684,578.36
3.944660069258093,-0.0007723485069580266,32.204263764128264,0.0004,3.944,588.266
3.4959505015209866,-4.023273346112354,32.25586373774353,4.0,1.679,598.266
3.939916247857022,-0.0005321532895916555,32.35230986642453,0.0004,3.94,608.313
3.492219824670864,-4.026236731563307,32.395014566215494,4.0,1.675,618.266
3.9348976273633767,0.00010658988571733009,32.460113038508496,0.0004,3.934,628.219
3.4883648746555473,-4.022268319447747,32.49237761770232,4.0,1.673,638.219
3.9298599833269234,0.001930864470068237,32.574668672982,0.0004,3.929,648.141
3.484221555186901,-4.02586183906583,32.5986838346567,4.0,1.668,658.079
