Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
3.8454913513399713,-0.0008711091496250029,9.292640050962104,0.0,0.0,0.0
3.8462292855248927,-0.0009530189247450627,9.298540811354455,0.0,3.86,9.313000000000002
3.482747114513102,-2.009770153932727,9.276107406369094,1.9972,2.511,19.406
3.4573832602134855,-2.0145870671728967,9.293920229116523,1.9972,2.486,28.796999999999997
3.435799617065229,-2.0125379593744332,9.296387117190989,1.9972,2.462,38.141
3.416136125503195,-2.0131578328335187,9.364167210408953,1.9972,2.441,47.563
3.3974245902473923,-2.0136303074926363,9.38653668294033,1.9972,2.425,56.953
3.3794927950035447,-2.0136110185322047,9.480905180530753,1.9972,2.395,66.235
3.361163514408139,-2.0131496762763734,9.54807960231154,1.9972,2.375,75.625
3.3433605282317957,-2.0129427173275993,9.610063619466919,1.9974,2.358,85.0
3.325274632165315,-2.0136818772587466,9.706352667469451,1.9972,2.34,94.344
3.306796214188553,-2.014387648579439,9.769295831427009,1.9972,2.322,103.75
3.2884785949370636,-2.01289407477009,9.861875314337006,1.9974,2.305,113.11
3.2698535110850178,-2.011976334711629,9.934947104718328,1.9974,2.288,122.469
3.2512326765074966,-2.010276245263687,10.038894403167845,1.9974,2.27,131.86
3.2328340848673096,-2.0108609518989238,10.11304136927629,1.9972,2.251,141.235
3.2151326958875837,-2.0121717961134027,10.226187960990467,1.9974,2.233,150.61
3.199262876563487,-2.0124702978010167,10.336212812584497,1.9974,2.217,159.953
3.1847733328545935,-2.011039301981956,10.432218851060831,1.9974,2.201,169.328
3.1731644144580264,-2.0122356159390704,10.522060771107837,1.9974,2.189,178.688
3.164260132030428,-2.013993405678631,10.63092049851604,1.9974,2.177,188.0
3.1582859909159,-2.0136166078421365,10.64614975200929,1.9974,2.169,197.313
3.1546251382520185,-2.013982559172993,10.752738050385602,1.9974,2.164,206.672
3.1530842944383344,-2.012972080990344,10.918265198742528,1.9974,2.161,216.0
3.1532935404398414,-2.015197604663522,10.97822036070021,1.9974,2.161,225.328
3.1546052974447734,-2.0118292758095033,11.116870458470045,1.9974,2.161,234.641
3.157173950417487,-2.011529108704717,11.217015840617847,1.9974,2.164,243.953
3.160177790601981,-2.0136441378178374,11.313960122563326,1.9974,2.167,253.281
3.163728239377703,-2.0133475193356727,11.409930063212018,1.9974,2.17,262.656
3.167306809077205,-2.0123939380447666,11.532982687089223,1.9974,2.174,272.0
3.1711409157937513,-2.01201538266675,11.599467629097893,1.9974,2.178,281.375
3.1752348597823072,-2.0118757041294226,11.689222647987354,1.9974,2.182,290.703
3.1793974762950787,-2.011948938810466,11.741256656207359,1.9974,2.185,300.125
3.1831900911454976,-2.0133877667135365,11.845383659507034,1.9974,2.19,309.485
3.187098226043381,-2.0163028011684423,11.925438498053438,1.9974,2.193,318.828
3.1908363250508915,-2.0113283105173925,12.003000767938968,1.9974,2.197,328.219
3.194605214891825,-2.015209175706551,12.049440393198202,1.9974,2.201,337.531
3.197958585133657,-2.012348632546408,12.123563288411983,1.9974,2.205,346.953
3.2011981794617417,-2.011981382808899,12.17699054112512,1.9974,2.209,356.25
