Voltage_measured,Current_measured,Temperature_measured,Current_load,Voltage_load,Time
4.182256888930097,-0.009673906213975412,23.556684182579744,0.0006,0.0,0.0
4.182007121452548,-0.004666432300122308,23.541409033500173,0.0004,4.197,9.311999999999998
3.5675268328387264,-4.029052530932922,23.632246423127455,4.001,1.624,23.531
3.5151600649079757,-4.029633657382088,24.05678921808205,4.0,1.578,37.297
3.475737171772991,-4.028935852944005,24.639659950904676,4.0,1.539,51.077999999999996
3.4414070132185257,-4.029545220263884,25.257548966930464,4.0,1.505,64.984
3.411573974369412,-4.0292468934770636,25.84185865131846,4.0,1.473,78.73400000000001
3.385666010336414,-4.0277880681979585,26.420657348809804,4.0,1.447,92.51599999999999
3.3628971599635444,-4.0291806468801505,26.99795770529505,4.0,1.423,106.234
3.342486666143863,-4.028188866708864,27.551832629463593,4.0,1.403,120.078
3.3245647760324655,-4.029022014873164,28.111371306050884,4.0,1.386,133.781
3.3084416229878784,-4.027158062160728,28.65146991035916,4.001,1.367,147.531
3.2942008323650995,-4.029342376883703,29.166576437445343,4.0,1.354,161.281
3.2811952608443598,-4.029482646443235,29.670878041862405,4.0,1.342,175.047
3.269422194075926,-4.027524370829245,30.14204690211589,4.0,1.331,188.797
3.258583653853975,-4.028481744205356,30.602596588303044,4.0,1.32,202.594
3.248184684482797,-4.028356690220943,31.043204495335452,4.0,1.31,216.359
3.2386018132286503,-4.026712078814465,31.457008125975452,4.0,1.301,230.062
3.2290695497158164,-4.028525799899833,31.860573047365843,4.0,1.292,243.875
3.2198383361267564,-4.029130615091668,32.248032726128464,4.0,1.283,257.656
3.211001710108814,-4.028587634385023,32.62986155516193,4.0,1.274,271.437
3.2018456570215155,-4.026724864877726,32.98565887039212,4.0,1.266,285.172
3.193108569864662,-4.028085471419245,33.37079924506593,4.0,1.258,299.0
3.1847502369043723,-4.028919979659821,33.729018000316444,4.001,1.25,312.734
3.176493158577383,-4.027730752343075,34.07950210528052,4.0,1.244,326.422
3.1686141884344563,-4.0290268918919185,34.420708778581734,4.0,1.235,340.187
3.1609071080500746,-4.028469454419564,34.764349932154516,4.0,1.228,353.937
3.1532936842358716,-4.029100920146984,35.10656139924361,4.001,1.22,367.687
3.146118436437276,-4.028236872739193,35.43760238405082,4.0,1.214,381.406
3.139407059934665,-4.02852557827108,35.78230326797117,4.0,1.206,395.141
3.1322666838700957,-4.027479553162177,36.106487017396894,4.001,1.198,408.891
3.1257493222989585,-4.029660320713352,36.43575903915097,4.0,1.192,422.609
3.119507407402547,-4.0300783485709,36.76988606883639,4.001,1.186,436.391
3.11339322179232,-4.0296283928156225,37.10725138349028,4.0,1.18,450.187
3.107384968536464,-4.028626562511233,37.439754891297426,4.001,1.175,463.922
3.101539296697967,-4.029639169617409,37.762476087894306,4.001,1.169,477.703
3.095801015176134,-4.029872739687407,38.069213187401054,4.0,1.164,491.469
3.090352379670117,-4.02875904478816,38.41548631361779,4.0,1.159,505.266
3.0849488342930647,-4.028695623033508,38.731784197587515,4.0,1.154,518.969
3.079862392388521,-4.028236728946024,39.05021152202119,4.001,1.148,532.812
3.0745107850096542,-4.030341601755606,39.358596178722024,4.001,1.144,546.625
3.0695580761650203,-4.028834627471607,39.69425757022208,4.0,1.138,560.359
3.0647536449965984,-4.028988064431511,39.994391807567006,4.001,1.133,574.156
3.0597477844716776,-4.028254884005519,40.309366539612085,4.001,1.128,587.891
3.05475168628163,-4.027926818421532,40.616722939230634,4.0,1.123,601.703
3.04993856834805,-4.028724420521491,40.91466112522577,4.001,1.119,615.391
3.0450433432654336,-4.028305365291729,41.206290396235666,4.001,1.114,629.141
3.040196810000473,-4.026432185226575,41.53497084221027,4.001,1.11,642.875
3.035314126458556,-4.028803877916143,41.829450412694236,4.001,1.105,656.641
3.0304416878870386,-4.028571179665415,42.10742391515605,4.001,1.1,670.391
3.0256033860498768,-4.027941055806424,42.412732617474234,4.001,1.096,684.125
3.0207276967446095,-4.028216271641601,42.7221565081476,4.0,1.091,697.969
3.0160812326155586,-4.027852160674838,43.022134082473414,4.0,1.086,711.734
3.0110358132981867,-4.028276568823369,43.31382145434936,4.0,1.081,725.484
3.005871083699158,-4.029514887877838,43.58647587123674,4.001,1.076,739.312
3.0010636417750503,-4.029145494310956,43.88088174202263,4.001,1.07,753.078
2.995847955474761,-4.028825427577768,44.17022383969358,4.001,1.066,766.828
2.990800458104582,-4.02954369205745,44.44618676230597,4.0,1.061,780.625
2.985644618014813,-4.027578348032374,44.71895715710401,4.001,1.056,794.391
2.9802695137196356,-4.028941546986617,45.01275081127914,4.0,1.05,808.172
2.9746719039207785,-4.028210135404435,45.26120532129137,4.0,1.035,821.906
2.968931969806799,-4.0289209317603785,45.55904334632799,4.001,1.034,835.703
